SchemeCode,SchemeName,NAV,NAVDate
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474.96,2015-11-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474.03,2015-11-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,475.68,2015-12-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474.69,2015-12-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,472.15,2015-12-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.33,2015-12-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.95,2015-12-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,464.74,2015-12-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,457.53,2015-12-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,460.5,2015-12-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,456.64,2015-12-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,459.05,2015-12-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,461.68,2015-12-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,463.95,2015-12-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.74,2015-12-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,465.25,2015-12-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.65,2015-12-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,466.72,2015-12-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,470.6,2015-12-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,470.93,2015-12-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.76,2015-12-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474,2015-12-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.8,2015-12-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.32,2015-12-31 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,477.46,2016-01-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,469.9,2016-01-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,471.15,2016-01-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,469.83,2016-01-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,457.82,2016-01-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,462.15,2016-01-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,459.45,2016-01-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,455.28,2016-01-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,454.76,2016-01-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,451.39,2016-01-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,443.68,2016-01-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,435.22,2016-01-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,439.83,2016-01-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,432.14,2016-01-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,431.59,2016-01-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,441.51,2016-01-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,442.72,2016-01-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,443.49,2016-01-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,442.52,2016-01-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,449.31,2016-01-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,450.57,2016-02-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,443.55,2016-02-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,438.32,2016-02-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,439.59,2016-02-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,447.81,2016-02-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,444.16,2016-02-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,436.78,2016-02-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,430.72,2016-02-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,417.07,2016-02-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,417.25,2016-02-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,429.44,2016-02-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,420.75,2016-02-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,424.06,2016-02-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,427.09,2016-02-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,426.66,2016-02-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,427.99,2016-02-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,421.41,2016-02-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,416.51,2016-02-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,411.84,2016-02-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,414.36,2016-02-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,412.95,2016-02-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,427.05,2016-03-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,436.26,2016-03-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,443.1,2016-03-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,444.79,2016-03-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,443.29,2016-03-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,447.8,2016-03-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,446.16,2016-03-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,447.81,2016-03-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,449.82,2016-03-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,446.41,2016-03-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,446.9,2016-03-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,448.68,2016-03-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,453.34,2016-03-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,458.83,2016-03-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,459.74,2016-03-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,460.77,2016-03-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,455.48,2016-03-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,455.46,2016-03-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,462.73,2016-03-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,463.93,2016-03-31 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,463.81,2016-04-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,466.53,2016-04-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,458.87,2016-04-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,460.28,2016-04-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,458.25,2016-04-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,460.66,2016-04-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,465.08,2016-04-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,469.32,2016-04-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.63,2016-04-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,479.1,2016-04-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,479.23,2016-04-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.91,2016-04-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,480.06,2016-04-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.22,2016-04-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.15,2016-04-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.61,2016-04-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.98,2016-04-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,480.6,2016-04-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,481.02,2016-05-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,477.63,2016-05-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,474.09,2016-05-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,475.24,2016-05-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.93,2016-05-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,480.06,2016-05-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,481.66,2016-05-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,480.88,2016-05-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.96,2016-05-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,481.5,2016-05-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.82,2016-05-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.38,2016-05-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,484.21,2016-05-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,480.36,2016-05-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.48,2016-05-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.43,2016-05-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,476.17,2016-05-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,483.85,2016-05-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,487.79,2016-05-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,491.77,2016-05-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,492.91,2016-05-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,493.22,2016-05-31 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,492.71,2016-06-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,495.06,2016-06-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,494.93,2016-06-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,494.08,2016-06-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,497.47,2016-06-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,498.57,2016-06-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,497.3,2016-06-09 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,495.14,2016-06-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,492.39,2016-06-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,492.67,2016-06-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,496.83,2016-06-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,493.04,2016-06-16 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,493.93,2016-06-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,497.11,2016-06-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,496.96,2016-06-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,496.67,2016-06-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,500.27,2016-06-23 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,490.6,2016-06-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,492.98,2016-06-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,495.38,2016-06-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,500.71,2016-06-29 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,506.16,2016-06-30 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,511.37,2016-07-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,514.06,2016-07-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,513.13,2016-07-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,511.62,2016-07-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,511.5,2016-07-08 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,519.11,2016-07-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,521.86,2016-07-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,520.04,2016-07-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,523.9,2016-07-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,524.16,2016-07-15 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,522.75,2016-07-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,523.34,2016-07-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,527.99,2016-07-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,526.7,2016-07-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,531.84,2016-07-22 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,537.56,2016-07-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,536.26,2016-07-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,537.17,2016-07-27 00:00:00
